category,model,variant,target_branches,covered_branches,coverage_rate
Complex Data Dependency,GPT-4o,Direct LLM-only,225,161,71.55555555555554
Complex Data Dependency,GPT-4o,Ours v1,225,190,84.44444444444444
Complex Data Dependency,GPT-4o-mini,Direct LLM-only,225,156,69.33333333333334
Complex Data Dependency,GPT-4o-mini,Ours v1,225,153,68.0
Complex Data Dependency,Qwen2.5-7B,Direct LLM-only,225,102,45.33333333333333
Complex Data Dependency,Qwen2.5-7B,Ours v1,225,101,44.888888888888886
Cross-Function / Cross-Module Dependency,GPT-4o,Direct LLM-only,289,210,72.66435986159169
Cross-Function / Cross-Module Dependency,GPT-4o,Ours v1,289,242,83.73702422145328
Cross-Function / Cross-Module Dependency,GPT-4o-mini,Direct LLM-only,289,198,68.5121107266436
Cross-Function / Cross-Module Dependency,GPT-4o-mini,Ours v1,289,191,66.08996539792388
Cross-Function / Cross-Module Dependency,Qwen2.5-7B,Direct LLM-only,289,133,46.02076124567474
Cross-Function / Cross-Module Dependency,Qwen2.5-7B,Ours v1,289,136,47.05882352941176
Loop/Iteration State Dependency,GPT-4o,Direct LLM-only,260,185,71.15384615384616
Loop/Iteration State Dependency,GPT-4o,Ours v1,260,215,82.6923076923077
Loop/Iteration State Dependency,GPT-4o-mini,Direct LLM-only,260,179,68.84615384615384
Loop/Iteration State Dependency,GPT-4o-mini,Ours v1,260,163,62.69230769230769
Loop/Iteration State Dependency,Qwen2.5-7B,Direct LLM-only,260,120,46.15384615384615
Loop/Iteration State Dependency,Qwen2.5-7B,Ours v1,260,111,42.69230769230769
