Group,Method,Model,Avg Branch (%),Improvement vs Pynguin,Valid LLM Programs,Fallback Programs,Improved Programs,Notes
Baseline,Pynguin baseline,-,65.25,0.0,-,-,-,effective104 baseline
Main method,Ours v1 strict,GPT-4o,93.85,28.6,98,6,86,main result
Model sensitivity,Ours v1 strict,GPT-4o-mini,84.8,19.55,80,24,71,
Model sensitivity,Ours v1 strict,Qwen2.5-7B,77.86,12.61,65,39,49,
Direct LLM,Strong Direct LLM + Pynguin fallback,GPT-4o,92.74,27.48,104,0,86,"source-code prompt, with Pynguin fallback"
Direct LLM,Strong Direct LLM + Pynguin fallback,GPT-4o-mini,92.11,26.86,103,1,83,"source-code prompt, with Pynguin fallback"
Direct LLM,Strong Direct LLM + Pynguin fallback,Qwen2.5-7B,86.29,21.04,104,0,69,"source-code prompt, with Pynguin fallback"
Direct LLM,"Direct LLM-only, ablated-ours prompt",GPT-4o,89.74,24.49,93,11,75,no Pynguin baseline in evaluation; final column still uses paper fallback summary
Direct LLM,Naive Direct LLM,GPT-4o,65.25,0.0,1,103,0,minimal prompt
Ablation,w/o Category Prompts,GPT-4o,87.61,22.36,80,24,76,
Ablation,One-shot only,GPT-4o,85.51,20.26,82,22,72,
Ablation,w/o Error Feedback,GPT-4o,88.01,22.75,82,22,73,
Ablation,w/o Filtering,GPT-4o,74.97,9.72,38,66,38,
Ablation,w/o Branch Guidance,GPT-4o,86.83,21.58,86,18,78,
