tool,program,reason,detail
CoverUp,AlgoExtra_bisection_interval_replacement,no_tests_collected,AlgoExtra_bisection_interval_replacement	3.85 | PYTEST_FAIL |  | no tests ran in 0.05s | 
CoverUp,AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057,test_assertion_or_runtime_failure,"AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057	95.60 | PYTEST_FAIL | ............F                                                            [100%] | =========================== short test summary info =========================== | FAILED coverup/result_4o/tests/test_coverup_6.py::test_print_pascal_triangle | 1 failed, 12 passed in 0.90s | "
CoverUp,AlgoExtra_prime_gap_classifier_replacement,no_tests_collected,AlgoExtra_prime_gap_classifier_replacement	4.35 | PYTEST_FAIL |  | no tests ran in 0.05s | 
CoverUp,CodaExtra_bezier_flatness,no_tests_collected,CodaExtra_bezier_flatness	5.88 | PYTEST_FAIL |  | no tests ran in 0.04s | 
CoverUp,CodaExtra_random_choice_weight,no_tests_collected,CodaExtra_random_choice_weight	4.00 | PYTEST_FAIL |  | no tests ran in 0.05s | 
CoverUp,GaussianElimination2,no_tests_collected,GaussianElimination2	? | PYTEST_FAIL |  | no tests ran in 0.06s | Couldn't use data file 'D:\\ANONYMOUS_USER\\pycharm\\BCBT\\scientific_calculation\\GaussianElimination2\\coverup\\result_4o\\.coverage_61720_1778651688573826000': unable to open database file | 
CoverUp,Linear_equation4,no_tests_collected,Linear_equation4	21.43 | PYTEST_FAIL |  | no tests ran in 0.04s | 
CoverUp,NumericalExtra_bisection_bisection_003,no_tests_collected,NumericalExtra_bisection_bisection_003	8.70 | PYTEST_FAIL |  | no tests ran in 0.05s | 
CoverUp,NumericalExtra_secant_step_replacement,no_tests_collected,NumericalExtra_secant_step_replacement	4.17 | PYTEST_FAIL |  | no tests ran in 0.05s | 
CoverUp,PDEExtra_cfl_classifier,no_tests_collected,PDEExtra_cfl_classifier	4.17 | PYTEST_FAIL |  | no tests ran in 0.04s | 
CoverUp,Runge_Kutta,no_tests_collected,Runge_Kutta	100.00 | PYTEST_FAIL | The value of y( 20 ) is: -485157734.1655482 |  | no tests ran in 0.04s | 
CoverUp,TBCExtra_pivot_strategy,no_tests_collected,TBCExtra_pivot_strategy	9.09 | PYTEST_FAIL |  | no tests ran in 0.04s | 
