program,line,target,function,condition,categories,Pynguin_missing_targets,Direct_LLM_only_GPT4o,CoverUp_GPT4o,CodaMOSA_GPT4o,Ours_v1_GPT4o
2DJacobiPoissonSolver,6,8,jacobi,i in range(Nx),Complex Data Dependency | Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,0,0,0,0
2DJacobiPoissonSolver,9,16,jacobi,"j in range(1, Ny - 1)",Complex Data Dependency | Loop/Iteration State Dependency,0,0,0,0,0
2DJacobiPoissonSolver,10,11,jacobi,"i in range(1, Nx - 1)",Complex Data Dependency | Loop/Iteration State Dependency,0,1,1,0,1
2DJacobiPoissonSolver,10,16,jacobi,"i in range(1, Nx - 1)",Complex Data Dependency | Loop/Iteration State Dependency,0,0,0,0,0
AlgoExtra_binomial_distribution_binomial_distribution_028,24,26,binomial_distribution,not 0 < prob < 1,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,0
AlgoExtra_bisection_bisection_023,25,26,bisection,function(a) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_bisection_bisection_023,25,27,bisection,function(a) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_bisection_bisection_023,27,28,bisection,function(b) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_bisection_bisection_023,27,29,bisection,function(b) == 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_bisection_bisection_023,29,33,bisection,function(a) * function(b) > 0,Cross-Function / Cross-Module Dependency,0,1,1,0,1
AlgoExtra_bisection_bisection_023,29,35,bisection,function(a) * function(b) > 0,Cross-Function / Cross-Module Dependency,0,1,1,0,1
AlgoExtra_casimir_effect_casimir_force_012,70,75,casimir_force,distance == 0,Cross-Function / Cross-Module Dependency,0,0,0,0,0
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,103,102,count_negatives_brute_force_with_break,"(i, number) in enumerate(row)",Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,104,103,count_negatives_brute_force_with_break,number < 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,0,1
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,104,105,count_negatives_brute_force_with_break,number < 0,Cross-Function / Cross-Module Dependency | Loop/Iteration State Dependency,0,1,1,1,1
